Index,ข่าวที่ไม่สำเร็จ,หัวข้อข่าว,ประเภทข่าว,หมวดหมู่ของข่าว,Filled_Date
827,22/12/2568,กัมพูชาใช้ทุ่นระเบิดสังหารบุคคล ล่อทหารไทยเข้าสู่ทุ่งสังหาร ฝ่าฝืนกฎหมายมนุษยธรรมร้ายแรง,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
916,27/12/2568,MOU แร่แรร์เอิร์ธของไทย-สหรัฐ ไม่ผูกพันทางกฎหมาย สามารถยกเลิกได้ทันที,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
1010,12/12/2568,กยศ.ช่วยผู้กู้ยืมที่ประสบภัยน้ำท่วมภาคใต้ ขอผ่อนผันหนี้ได้โดยไม่เสียดอกเบี้ย สูงสุด 2 ปี,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
1032,07/01/2569,การรื้อถอนสิ่งปลูกสร้างของประชาชนกัมพูชาที่รุกล้ำเขตไทย เป็นไปตามหลักกฎหมาย,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1048,06/01/2569,เกิดเหตุการณ์การระเบิดในพื้นที่ช่องบก บริเวณเนิน 469 ต.โดมประดิษฐ์ อ.น้ำยืน จ.อุบลราชธานี,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1086,25/12/2568,ครม. อนุมัติ 2.3 พันล้าน เยียวยาผู้ประสบภัยชายแดนไทย-กัมพูชา,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
1145,16/12/2568,กองทัพไทยเข้าควบคุมพื้นที่ปราสาทตาควายได้สำเร็จ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1203,24/12/2568,ไทยยึดควบคุมพื้นที่บ้านคลองแผง และบ้านหนองหญ้าแก้วได้แล้ว,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1206,29/12/2568,วิทยุการบินฯ มอบของขวัญปีใหม่ 2569 ให้กับประชาชน ลดค่าบริการเดินอากาศให้สายการบิน 30%,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
1378,23/12/2568,"กสทช. ร่วมกับหน่วยงานความมั่นคง เข้าตรวจยึดสกัดฝูงโดรนบินใกล้ท่าอากาศยานสุวรรณภูมิกว่า 2,500 ลำ",ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1395,27/12/2568,"พม. ผุดโครงการ “ครอบครัวอุปถัมภ์ผู้สูงอายุ” มอบเงิน 2,000 บาท ต่อผู้สูงอายุ 1 คน/เดือน",ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
1398,02/01/2569,กองทัพบก จัดกำลังเข้ายึดควบคุมพื้นที่ช่องเสม็ด,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1407,16/12/2568,ไทยส่งหนังสือถึง UN ฟ้องกัมพูชาละเมิดกฎหมายมนุษยธรรม,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1430,18/12/2568,จีนยืนยันไม่มีการส่งมอบอาวุธ GAM-102LR รุ่นใหม่ให้กัมพูชา,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1464,25/12/2568,การรื้อถอนสิ่งปลูกสร้างในพื้นที่ชายแดนไทย-กัมพูชา เป็นการบริหารจัดการพื้นที่และความมั่นคง,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1559,04/01/2569,กองทัพเรือได้จับกุมชาวกัมพูชาที่ลักลอบเข้าไทย 67 ราย ที่แถบชายแดนจันทบุรี,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1713,21/12/2568,ทำลายฐานที่มั่น ยึดคืนพื้นที่บ้านท่าเส้น–กาสิโนทมอดา จ.ตราด ได้สำเร็จ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1789,28/12/2568,ปปง. ยึดเรือยอชต์พร้อมอุปกรณ์มูลค่ากว่า 1 พันล้านบาท ขยายผลเชื่อมโยงถึงสแกมเมอร์ข้ามชาติ,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
1793,15/12/2568,กัมพูชายิงกระสุนตกในพื้นที่ชุมชน จ.ตราด นับเป็นการไม่เคารพกติกาสากลด้านมนุษยธรรม,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
1957,29/12/2568,กองทัพขอความร่วมมือประชาชน ห้ามเก็บ ครอบครอง หรือเคลื่อนย้ายอุปกรณ์ทางทหาร,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
2018,27/12/2568,กทม. ให้บริการรับทิ้ง-เก็บขยะชิ้นใหญ่ฟรี วันที่ 27-28 ธ.ค. 68,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
2060,15/12/2568,คำแถลงต่อสถานการณ์ความไม่สงบ กัมพูชาโจมตีไทย ไม่ใช่อุบัติเหตุ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
2068,31/12/2568,"ทหารไทยทำลายบันไดไม้ 1,181 ขั้น บริเวณปราสาทคนา อ.กาบเชิง จ.สุรินทร์",ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
2073,12/12/2568,เตือนประชาชนออกจากพื้นที่ชายแดน งดใช้โทรศัพท์มือถือและห้ามนำสิ่งของไปมอบในพื้นที่เสี่ยง,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
2283,15/12/2568,สถาบันพยาธิวิทยา ขอเชิญร่วมบริจาคโลหิต เพื่อรองรับการรักษาผู้บาดเจ็บ จากสถานการณ์ความไม่สงบในพื้นที่ชายแดน,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
2381,21/12/2568,ทบ.ควบคุมพื้นที่ปราสาทตาควายและเนิน 350 พร้อมนำร่างทหารกล้า 2 นาย กลับพื้นที่ส่วนหลัง,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
2463,05/01/2569,วันที่ 6-10 ม.ค. 69 ภาคใต้ตอนล่างจะมีฝนเพิ่มขึ้น,ข่าวจริง,ภัยพิบัติ,2023-07-20 07:15:03.500
2577,07/01/2569,ไทยเรียกร้องให้กัมพูชารับผิดชอบ กรณียิงข้ามแดนเข้ามาฝั่งไทย จนทำให้กำลังพลได้รับบาดเจ็บ 1 นาย,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
2616,06/01/2569,ไทยปิดด่านทุกด่านบริเวณแนวชายแดนไทย-กัมพูชา แบบถาวร,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
2909,01/01/2569,ปตท. ตรึงราคาน้ำมันช่วงปีใหม่ พร้อมมอบโปรโมชันพิเศษตามเงื่อนไข,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
2956,19/12/2568,เร่งช่วยเหลือเกษตรกรและสัตว์เลี้ยง ที่ได้รับความเสียหายจากเหตุปะทะ ในพื้นที่ 7 จังหวัดชายแดนไทย-กัมพูชา,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
2975,16/12/2568,กัมพูชากักกันคนไทยที่ด่านปอยเปต อาจเข้าข่ายอาชญากรรมสงคราม,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3021,07/01/2569,ลดเงินสมทบประกันสังคม 6 เดือน เยียวยานายจ้าง-ผู้ประกันตน 9 จังหวัดภาคใต้,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
3126,02/01/2569,อายุครบ 55 ปี ส่งเงินสมทบครบ 180 เดือน รับเงินบำนาญชราภาพรายเดือนตลอดชีวิต,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
3139,30/12/2568,29 ธ.ค. ทหารไทยเหยียบทุ่นระเบิด ขณะปฏิบัติหน้าที่บริเวณเขาสัตตะโสม,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3171,15/12/2568,เคอร์ฟิว 5 อำเภอ ใน จ.ตราด หลังถูกกัมพูชาโจมตีด้วย M79,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3338,20/12/2568,อากาศยานไร้คนขับ UAV ของไทย สูญเสียการควบคุมตกในพื้นที่ปอยเปต,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3344,27/12/2568,เตือนประชาชนในพื้นที่แนวอำเภอติดชายแดน ห้ามเข้าพื้นที่เสี่ยงโดยเด็ดขาด,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3363,23/12/2568,นายกฯ มาเลเซีย เจรจากับไทย-กัมพูชา หวังผลักดันยุติความขัดแย้ง,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3476,01/01/2569,CMAC เตือนประชาชนและผู้ลี้ภัย ระมัดระวังวัตถุระเบิดตกค้างในบางพื้นที่,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3575,22/12/2568,กองทัพเรือ เปิดให้ทางการกัมพูชาเข้ารับร่างทหารผู้เสียชีวิต แต่ยังไร้การติดต่อกลับ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3729,23/12/2568,มาตรการเสริมความปลอดภัย รับมือโดรนรุกล้ำท่าอากาศยานสุวรรณภูมิ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3765,28/12/2568,แจ้งพลเรือนที่อาศัยอยู่ในเขตพื้นที่ชายแดน สามารถกลับบ้านและประกอบอาชีพในพื้นที่ฝั่งของตนเองได้ตามปกติ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3796,14/12/2568,กัมพูชา ยิงจรวด BM-21 ตกพื้นที่พลเรือน อ.กันทรลักษ์ จ.ศรีสะเกษ พบผู้บาดเจ็บ 4 ราย,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
3890,04/01/2569,ทภ.1 ขอความร่วมมือประชาชน งดการส่งต่อเนื้อหาที่เสี่ยงผิดหลัก OPSEC,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
4000,26/12/2568,ประกันสังคมยกเลิกจัดทำปฏิทินประจำปี 2569 ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
4057,21/12/2568,กนง. ลดอัตราดอกเบี้ยนโยบาย จากร้อยละ 1.50 เหลือ ร้อยละ 1.25 ต่อปี,ข่าวจริง,การเงิน-หุ้น,2023-07-20 07:15:03.500
4164,13/12/2568,ไทยไม่มีการทำเหมืองแร่หายาก เร่งนำเข้า เพิ่มมูลค่าก่อนส่งออก,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
4171,24/12/2568,กองทัพบก ยืนยัน ยึดกฎหมายสากล ไม่กระทำอาชญากรรมสงครามหรือสิ่งแวดล้อม พร้อมเดินหน้าการเจรจาทวิภาคี,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
4192,12/12/2568,กินหน่อไม้สดปริมาณมาก เสี่ยงรับพิษจากสารไซยาไนด์ อันตรายถึงชีวิต,ข่าวจริง,ผลิตภัณฑ์สุขภาพ,2023-07-20 07:15:03.500
4232,25/12/2568,การเคลื่อนไหวร่างกายแบบง่าย ๆ ช่วยกระตุ้นการทำงานของระบบลำไส้ได้จริง,ข่าวจริง,ผลิตภัณฑ์สุขภาพ,2023-07-20 07:15:03.500
4308,30/12/2568,ห้ามร้านค้าจำหน่ายเหล้า-เบียร์ ให้กับลูกค้าที่มีอาการมึนเมา ตามพระราชบัญญัติควบคุมเครื่องดื่มแอลกอฮอล์ พ.ศ. 2551,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
4626,12/12/2568,ทหารกัมพูชา ยิง BM-21 ลงเขตพื้นที่พลเรือน 55 จุด บ้านเรือนเสียหาย 13 หลัง,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
4759,16/12/2568,ทบ. มีคำสั่ง ห้ามส่งออกสินค้าประเภทน้ำมันเชื้อเพลิงทุกชนิดและยุทธภัณฑ์ ตามแนวชายแดนไทย–กัมพูชา,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5154,15/12/2568,ช่วงวันที่ 14–16 ธ.ค.68 เตือนพื้นที่บริเวณภาคใต้ เฝ้าระวังฝนตกหนัก-น้ำท่วมฉับพลัน,ข่าวจริง,ภัยพิบัติ,2023-07-20 07:15:03.500
5260,16/12/2568,กัมพูชาแทรกซึมเข้าพื้นที่จังหวัดตราด พยายามก่อวินาศกรรมต่อสถานที่สำคัญทางทหารและราชการ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5270,19/12/2568,กองทัพบกปฏิเสธข้อกล่าวหากัมพูชา ยืนยันไทยโจมตีเฉพาะเป้าหมายทางทหาร,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5321,30/12/2568,ประกาศยกเลิกเคอร์ฟิว อำเภอตาพระยา โคกสูง อรัญประเทศ คลองหาด จังหวัดสระแก้ว,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5401,12/12/2568,นายกรัฐมนตรี ทูลเกล้าฯ พระราชกฤษฎีกายุบสภาฯ,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
5442,17/12/2568,ปลดนกปรอดหัวโขน ออกจากบัญชีสัตว์ป่าคุ้มครอง,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
5480,17/12/2568,ยกระดับ เฝ้าระวังคัดกรองผู้เดินทางฟรีวีซ่าเข้าไทย กันผู้มีพฤติกรรมเสี่ยงต่อความมั่นคง,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5541,19/12/2568,กัมพูชามีคลังระเบิดดัดแปลง และหลักสูตรฝึกสอนทุ่นระเบิดฯ โดยละเมิดอนุสัญญาออตตาวา,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5581,13/12/2568,กรมประมง ขอความร่วมมือเรือประมงทุกลำ หลีกเลี่ยงการเดินเรือใกล้เขตชายแดนไทย – กัมพูชา,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5610,18/12/2568,กัมพูชาใช้ล็อบบี้ยิสต์ฝั่งตะวันตก สร้างภาพโจมตีไทย,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5692,17/12/2568,การปะทะในพื้นที่ปราสาทตาควาย เนิน 350 และเนิน 225 ทำให้สูญเสียทหารไทย 2 นาย,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
5715,29/12/2568,กินบะหมี่กึ่งสำเร็จรูปเป็นประจำ เสี่ยงโรคหัวใจ เบาหวาน และหลอดเลือดสมอง,ข่าวจริง,ผลิตภัณฑ์สุขภาพ,2023-07-20 07:15:03.500
